
150 ISOTOPES IN NETWORK:

Index  Isotope   A   Z   N  Abundance Y  MassFrac X  MassXS(MeV)
469 he4+mg24-->si28 reacClass=4 #react=2 #prod=1 isEC=0 isReverse=0 Q=9.9840 prefac=1.0000 RGsymb:a+b<->c
470 he4+mg24-->si28 reacClass=4 #react=2 #prod=1 isEC=0 isReverse=0 Q=9.9840 prefac=1.0000 RGsymb:a+b<->c
471 si28-->he4+mg24 reacClass=2 #react=1 #prod=2 isEC=0 isReverse=1 Q=-9.9840 prefac=1.0000 RGsymb:a+b<->c
472 si28-->he4+mg24 reacClass=2 #react=1 #prod=2 isEC=0 isReverse=1 Q=-9.9840 prefac=1.0000 RGsymb:a+b<->c
473 p+mg24-->n+al24 reacClass=5 #react=2 #prod=2 isEC=0 isReverse=1 Q=-14.6610 prefac=1.0000 RGsymb:a+b<->c+d
474 n+al24-->p+mg24 reacClass=5 #react=2 #prod=2 isEC=0 isReverse=0 Q=14.6610 prefac=1.0000 RGsymb:a+b<->c+d
475 he4+mg24-->p+al27 reacClass=5 #react=2 #prod=2 isEC=0 isReverse=0 Q=-1.6000 prefac=1.0000 RGsymb:a+b<->c+d
476 he4+mg24-->p+al27 reacClass=5 #react=2 #prod=2 isEC=0 isReverse=1 Q=-1.6021 prefac=1.0000 RGsymb:a+b<->c+d
477 p+al27-->he4+mg24 reacClass=5 #react=2 #prod=2 isEC=0 isReverse=0 Q=1.6000 prefac=1.0000 RGsymb:a+b<->c+d
478 p+al27-->he4+mg24 reacClass=5 #react=2 #prod=2 isEC=0 isReverse=0 Q=1.6021 prefac=1.0000 RGsymb:a+b<->c+d
479 n+mg25-->mg26 reacClass=4 #react=2 #prod=1 isEC=0 isReverse=0 Q=11.0934 prefac=1.0000 RGsymb:a+b<->c
480 mg26-->n+mg25 reacClass=2 #react=1 #prod=2 isEC=0 isReverse=1 Q=-11.0934 prefac=1.0000 RGsymb:a+b<->c
481 p+mg25-->al26 reacClass=4 #react=2 #prod=1 isEC=0 isReverse=0 Q=6.3060 prefac=1.0000 RGsymb:a+b<->c
482 p+mg25-->al26 reacClass=4 #react=2 #prod=1 isEC=0 isReverse=0 Q=6.3060 prefac=1.0000 RGsymb:a+b<->c
483 p+mg25-->al26 reacClass=4 #react=2 #prod=1 isEC=0 isReverse=0 Q=6.3060 prefac=1.0000 RGsymb:a+b<->c
484 al26-->p+mg25 reacClass=2 #react=1 #prod=2 isEC=0 isReverse=1 Q=-6.3060 prefac=1.0000 RGsymb:a+b<->c
485 al26-->p+mg25 reacClass=2 #react=1 #prod=2 isEC=0 isReverse=1 Q=-6.3060 prefac=1.0000 RGsymb:a+b<->c
486 al26-->p+mg25 reacClass=2 #react=1 #prod=2 isEC=0 isReverse=1 Q=-6.3060 prefac=1.0000 RGsymb:a+b<->c
487 he4+mg25-->si29 reacClass=4 #react=2 #prod=1 isEC=0 isReverse=0 Q=11.1270 prefac=1.0000 RGsymb:a+b<->c
488 si29-->he4+mg25 reacClass=2 #react=1 #prod=2 isEC=0 isReverse=1 Q=-11.1270 prefac=1.0000 RGsymb:a+b<->c
489 p+mg25-->n+al25 reacClass=5 #react=2 #prod=2 isEC=0 isReverse=1 Q=-5.0590 prefac=1.0000 RGsymb:a+b<->c+d
490 n+al25-->p+mg25 reacClass=5 #react=2 #prod=2 isEC=0 isReverse=0 Q=5.0590 prefac=1.0000 RGsymb:a+b<->c+d
491 he4+mg25-->n+si28 reacClass=5 #react=2 #prod=2 isEC=0 isReverse=0 Q=2.6530 prefac=1.0000 RGsymb:a+b<->c+d
492 n+si28-->he4+mg25 reacClass=5 #react=2 #prod=2 isEC=0 isReverse=0 Q=-2.6530 prefac=1.0000 RGsymb:a+b<->c+d
493 p+mg26-->al27 reacClass=4 #react=2 #prod=1 isEC=0 isReverse=0 Q=8.2720 prefac=1.0000 RGsymb:a+b<->c
494 p+mg26-->al27 reacClass=4 #react=2 #prod=1 isEC=0 isReverse=0 Q=8.2720 prefac=1.0000 RGsymb:a+b<->c
495 al27-->p+mg26 reacClass=2 #react=1 #prod=2 isEC=0 isReverse=1 Q=-8.2720 prefac=1.0000 RGsymb:a+b<->c
496 al27-->p+mg26 reacClass=2 #react=1 #prod=2 isEC=0 isReverse=1 Q=-8.2720 prefac=1.0000 RGsymb:a+b<->c
497 he4+mg26-->si30 reacClass=4 #react=2 #prod=1 isEC=0 isReverse=0 Q=10.6440 prefac=1.0000 RGsymb:a+b<->c
498 si30-->he4+mg26 reacClass=2 #react=1 #prod=2 isEC=0 isReverse=1 Q=-10.6440 prefac=1.0000 RGsymb:a+b<->c
499 p+mg26-->n+al26 reacClass=5 #react=2 #prod=2 isEC=0 isReverse=0 Q=-4.7860 prefac=1.0000 RGsymb:a+b<->c+d
500 n+al26-->p+mg26 reacClass=5 #react=2 #prod=2 isEC=0 isReverse=0 Q=4.7860 prefac=1.0000 RGsymb:a+b<->c+d
501 he4+mg26-->n+si29 reacClass=5 #react=2 #prod=2 isEC=0 isReverse=0 Q=0.0350 prefac=1.0000 RGsymb:a+b<->c+d
502 n+si29-->he4+mg26 reacClass=5 #react=2 #prod=2 isEC=0 isReverse=0 Q=-0.0350 prefac=1.0000 RGsymb:a+b<->c+d
503 al24-->mg24+e++nu reacClass=1 #react=1 #prod=1 isEC=0 isReverse=0 Q=13.8780 prefac=1.0000 RGsymb:a<->b
504 n+al24-->al25 reacClass=4 #react=2 #prod=1 isEC=0 isReverse=0 Q=16.9320 prefac=1.0000 RGsymb:a+b<->c
505 al25-->n+al24 reacClass=2 #react=1 #prod=2 isEC=0 isReverse=1 Q=-16.9320 prefac=1.0000 RGsymb:a+b<->c
506 al25-->mg25+e++nu reacClass=1 #react=1 #prod=1 isEC=0 isReverse=0 Q=4.2770 prefac=1.0000 RGsymb:a<->b
507 n+al25-->al26 reacClass=4 #react=2 #prod=1 isEC=0 isReverse=0 Q=11.3660 prefac=1.0000 RGsymb:a+b<->c
508 al26-->n+al25 reacClass=2 #react=1 #prod=2 isEC=0 isReverse=1 Q=-11.3660 prefac=1.0000 RGsymb:a+b<->c
509 he4+al25-->p29 reacClass=4 #react=2 #prod=1 isEC=0 isReverse=0 Q=10.4610 prefac=1.0000 RGsymb:a+b<->c
510 p29-->he4+al25 reacClass=2 #react=1 #prod=2 isEC=0 isReverse=1 Q=-10.4610 prefac=1.0000 RGsymb:a+b<->c
511 he4+al25-->p+si28 reacClass=5 #react=2 #prod=2 isEC=0 isReverse=0 Q=7.7130 prefac=1.0000 RGsymb:a+b<->c+d
512 p+si28-->he4+al25 reacClass=5 #react=2 #prod=2 isEC=0 isReverse=1 Q=-7.7130 prefac=1.0000 RGsymb:a+b<->c+d
513 al26-->mg26+e++nu reacClass=1 #react=1 #prod=1 isEC=0 isReverse=0 Q=4.0060 prefac=1.0000 RGsymb:a<->b
514 n+al26-->al27 reacClass=4 #react=2 #prod=1 isEC=0 isReverse=0 Q=13.0580 prefac=1.0000 RGsymb:a+b<->c
515 al27-->n+al26 reacClass=2 #react=1 #prod=2 isEC=0 isReverse=1 Q=-13.0580 prefac=1.0000 RGsymb:a+b<->c
516 he4+al26-->p30 reacClass=4 #react=2 #prod=1 isEC=0 isReverse=0 Q=10.4150 prefac=1.0000 RGsymb:a+b<->c
517 p30-->he4+al26 reacClass=2 #react=1 #prod=2 isEC=0 isReverse=1 Q=-10.4150 prefac=1.0000 RGsymb:a+b<->c
518 p+al27-->si28 reacClass=4 #react=2 #prod=1 isEC=0 isReverse=0 Q=11.5860 prefac=1.0000 RGsymb:a+b<->c
519 p+al27-->si28 reacClass=4 #react=2 #prod=1 isEC=0 isReverse=0 Q=11.5860 prefac=1.0000 RGsymb:a+b<->c
520 p+al27-->si28 reacClass=4 #react=2 #prod=1 isEC=0 isReverse=0 Q=11.5860 prefac=1.0000 RGsymb:a+b<->c
521 si28-->p+al27 reacClass=2 #react=1 #prod=2 isEC=0 isReverse=1 Q=-11.5860 prefac=1.0000 RGsymb:a+b<->c
522 si28-->p+al27 reacClass=2 #react=1 #prod=2 isEC=0 isReverse=1 Q=-11.5860 prefac=1.0000 RGsymb:a+b<->c
523 si28-->p+al27 reacClass=2 #react=1 #prod=2 isEC=0 isReverse=1 Q=-11.5860 prefac=1.0000 RGsymb:a+b<->c
524 he4+al27-->p31 reacClass=4 #react=2 #prod=1 isEC=0 isReverse=0 Q=9.6690 prefac=1.0000 RGsymb:a+b<->c
525 p31-->he4+al27 reacClass=2 #react=1 #prod=2 isEC=0 isReverse=1 Q=-9.6690 prefac=1.0000 RGsymb:a+b<->c
526 he4+al27-->n+p30 reacClass=5 #react=2 #prod=2 isEC=0 isReverse=0 Q=-2.6360 prefac=1.0000 RGsymb:a+b<->c+d
527 he4+al27-->n+p30 reacClass=5 #react=2 #prod=2 isEC=0 isReverse=0 Q=-2.6360 prefac=1.0000 RGsymb:a+b<->c+d
528 n+p30-->he4+al27 reacClass=5 #react=2 #prod=2 isEC=0 isReverse=0 Q=2.6360 prefac=1.0000 RGsymb:a+b<->c+d
529 n+p30-->he4+al27 reacClass=5 #react=2 #prod=2 isEC=0 isReverse=0 Q=2.6360 prefac=1.0000 RGsymb:a+b<->c+d
530 he4+al27-->p+si30 reacClass=5 #react=2 #prod=2 isEC=0 isReverse=0 Q=2.3720 prefac=1.0000 RGsymb:a+b<->c+d
531 p+si30-->he4+al27 reacClass=5 #react=2 #prod=2 isEC=0 isReverse=1 Q=-2.3720 prefac=1.0000 RGsymb:a+b<->c+d
532 n+si28-->si29 reacClass=4 #react=2 #prod=1 isEC=0 isReverse=0 Q=8.4744 prefac=1.0000 RGsymb:a+b<->c
533 si29-->n+si28 reacClass=2 #react=1 #prod=2 isEC=0 isReverse=1 Q=-8.4744 prefac=1.0000 RGsymb:a+b<->c
534 p+si28-->p29 reacClass=4 #react=2 #prod=1 isEC=0 isReverse=0 Q=2.7470 prefac=1.0000 RGsymb:a+b<->c
535 p+si28-->p29 reacClass=4 #react=2 #prod=1 isEC=0 isReverse=0 Q=2.7470 prefac=1.0000 RGsymb:a+b<->c
536 p29-->p+si28 reacClass=2 #react=1 #prod=2 isEC=0 isReverse=1 Q=-2.7470 prefac=1.0000 RGsymb:a+b<->c
537 p29-->p+si28 reacClass=2 #react=1 #prod=2 isEC=0 isReverse=1 Q=-2.7470 prefac=1.0000 RGsymb:a+b<->c
538 he4+si28-->s32 reacClass=4 #react=2 #prod=1 isEC=0 isReverse=0 Q=6.9480 prefac=1.0000 RGsymb:a+b<->c
539 s32-->he4+si28 reacClass=2 #react=1 #prod=2 isEC=0 isReverse=1 Q=-6.9480 prefac=1.0000 RGsymb:a+b<->c
540 he4+si28-->p+p31 reacClass=5 #react=2 #prod=2 isEC=0 isReverse=1 Q=-1.9171 prefac=1.0000 RGsymb:a+b<->c+d
541 he4+si28-->p+p31 reacClass=5 #react=2 #prod=2 isEC=0 isReverse=1 Q=-1.9171 prefac=1.0000 RGsymb:a+b<->c+d
542 he4+si28-->p+p31 reacClass=5 #react=2 #prod=2 isEC=0 isReverse=1 Q=-1.9171 prefac=1.0000 RGsymb:a+b<->c+d
543 he4+si28-->p+p31 reacClass=5 #react=2 #prod=2 isEC=0 isReverse=1 Q=-1.9171 prefac=1.0000 RGsymb:a+b<->c+d
544 he4+si28-->p+p31 reacClass=5 #react=2 #prod=2 isEC=0 isReverse=1 Q=-1.9171 prefac=1.0000 RGsymb:a+b<->c+d
545 he4+si28-->p+p31 reacClass=5 #react=2 #prod=2 isEC=0 isReverse=1 Q=-1.9171 prefac=1.0000 RGsymb:a+b<->c+d
546 p+p31-->he4+si28 reacClass=5 #react=2 #prod=2 isEC=0 isReverse=0 Q=1.9171 prefac=1.0000 RGsymb:a+b<->c+d
547 p+p31-->he4+si28 reacClass=5 #react=2 #prod=2 isEC=0 isReverse=0 Q=1.9171 prefac=1.0000 RGsymb:a+b<->c+d
548 p+p31-->he4+si28 reacClass=5 #react=2 #prod=2 isEC=0 isReverse=0 Q=1.9171 prefac=1.0000 RGsymb:a+b<->c+d
549 p+p31-->he4+si28 reacClass=5 #react=2 #prod=2 isEC=0 isReverse=0 Q=1.9171 prefac=1.0000 RGsymb:a+b<->c+d
550 p+p31-->he4+si28 reacClass=5 #react=2 #prod=2 isEC=0 isReverse=0 Q=1.9171 prefac=1.0000 RGsymb:a+b<->c+d
551 p+p31-->he4+si28 reacClass=5 #react=2 #prod=2 isEC=0 isReverse=0 Q=1.9171 prefac=1.0000 RGsymb:a+b<->c+d
552 n+si29-->si30 reacClass=4 #react=2 #prod=1 isEC=0 isReverse=0 Q=10.6094 prefac=1.0000 RGsymb:a+b<->c
553 si30-->n+si29 reacClass=2 #react=1 #prod=2 isEC=0 isReverse=1 Q=-10.6094 prefac=1.0000 RGsymb:a+b<->c
554 p+si29-->p30 reacClass=4 #react=2 #prod=1 isEC=0 isReverse=0 Q=5.6010 prefac=1.0000 RGsymb:a+b<->c
555 p+si29-->p30 reacClass=4 #react=2 #prod=1 isEC=0 isReverse=0 Q=5.6010 prefac=1.0000 RGsymb:a+b<->c
556 p30-->p+si29 reacClass=2 #react=1 #prod=2 isEC=0 isReverse=1 Q=-5.6010 prefac=1.0000 RGsymb:a+b<->c
557 p30-->p+si29 reacClass=2 #react=1 #prod=2 isEC=0 isReverse=1 Q=-5.6010 prefac=1.0000 RGsymb:a+b<->c
558 he4+si29-->s33 reacClass=4 #react=2 #prod=1 isEC=0 isReverse=0 Q=7.1160 prefac=1.0000 RGsymb:a+b<->c
559 s33-->he4+si29 reacClass=2 #react=1 #prod=2 isEC=0 isReverse=1 Q=-7.1160 prefac=1.0000 RGsymb:a+b<->c
560 p+si29-->n+p29 reacClass=5 #react=2 #prod=2 isEC=0 isReverse=1 Q=-5.7250 prefac=1.0000 RGsymb:a+b<->c+d
561 n+p29-->p+si29 reacClass=5 #react=2 #prod=2 isEC=0 isReverse=0 Q=5.7250 prefac=1.0000 RGsymb:a+b<->c+d
562 p+si29-->he4+al26 reacClass=5 #react=2 #prod=2 isEC=0 isReverse=1 Q=-4.8200 prefac=1.0000 RGsymb:a+b<->c+d
563 he4+si29-->n+s32 reacClass=5 #react=2 #prod=2 isEC=0 isReverse=1 Q=-1.5260 prefac=1.0000 RGsymb:a+b<->c+d
564 n+s32-->he4+si29 reacClass=5 #react=2 #prod=2 isEC=0 isReverse=0 Q=1.5260 prefac=1.0000 RGsymb:a+b<->c+d
565 he4+si29-->p+p32 reacClass=5 #react=2 #prod=2 isEC=0 isReverse=1 Q=-2.4540 prefac=1.0000 RGsymb:a+b<->c+d
566 p+p32-->he4+si29 reacClass=5 #react=2 #prod=2 isEC=0 isReverse=0 Q=2.4540 prefac=1.0000 RGsymb:a+b<->c+d
567 n+si30-->si31 reacClass=4 #react=2 #prod=1 isEC=0 isReverse=0 Q=6.5884 prefac=1.0000 RGsymb:a+b<->c
568 si31-->n+si30 reacClass=2 #react=1 #prod=2 isEC=0 isReverse=1 Q=-6.5884 prefac=1.0000 RGsymb:a+b<->c
569 p+si30-->p31 reacClass=4 #react=2 #prod=1 isEC=0 isReverse=0 Q=7.2970 prefac=1.0000 RGsymb:a+b<->c
570 p+si30-->p31 reacClass=4 #react=2 #prod=1 isEC=0 isReverse=0 Q=7.2970 prefac=1.0000 RGsymb:a+b<->c
571 p31-->p+si30 reacClass=2 #react=1 #prod=2 isEC=0 isReverse=1 Q=-7.2970 prefac=1.0000 RGsymb:a+b<->c
572 p31-->p+si30 reacClass=2 #react=1 #prod=2 isEC=0 isReverse=1 Q=-7.2970 prefac=1.0000 RGsymb:a+b<->c
573 he4+si30-->s34 reacClass=4 #react=2 #prod=1 isEC=0 isReverse=0 Q=7.9240 prefac=1.0000 RGsymb:a+b<->c
574 s34-->he4+si30 reacClass=2 #react=1 #prod=2 isEC=0 isReverse=1 Q=-7.9240 prefac=1.0000 RGsymb:a+b<->c
575 p+si30-->n+p30 reacClass=5 #react=2 #prod=2 isEC=0 isReverse=1 Q=-5.0150 prefac=1.0000 RGsymb:a+b<->c+d
576 n+p30-->p+si30 reacClass=5 #react=2 #prod=2 isEC=0 isReverse=0 Q=5.0150 prefac=1.0000 RGsymb:a+b<->c+d
577 he4+si30-->n+s33 reacClass=5 #react=2 #prod=2 isEC=0 isReverse=1 Q=-3.4930 prefac=1.0000 RGsymb:a+b<->c+d
578 n+s33-->he4+si30 reacClass=5 #react=2 #prod=2 isEC=0 isReverse=0 Q=3.4930 prefac=1.0000 RGsymb:a+b<->c+d
579 he4+si30-->p+p33 reacClass=5 #react=2 #prod=2 isEC=0 isReverse=1 Q=-2.9590 prefac=1.0000 RGsymb:a+b<->c+d
580 p+p33-->he4+si30 reacClass=5 #react=2 #prod=2 isEC=0 isReverse=0 Q=2.9590 prefac=1.0000 RGsymb:a+b<->c+d
581 si31-->p31+e+nubar reacClass=1 #react=1 #prod=1 isEC=0 isReverse=0 Q=1.4890 prefac=1.0000 RGsymb:a<->b
582 n+si31-->si32 reacClass=4 #react=2 #prod=1 isEC=0 isReverse=0 Q=9.2030 prefac=1.0000 RGsymb:a+b<->c
583 si32-->n+si31 reacClass=2 #react=1 #prod=2 isEC=0 isReverse=1 Q=-9.2030 prefac=1.0000 RGsymb:a+b<->c
584 p+si31-->p32 reacClass=4 #react=2 #prod=1 isEC=0 isReverse=0 Q=8.6450 prefac=1.0000 RGsymb:a+b<->c
585 p32-->p+si31 reacClass=2 #react=1 #prod=2 isEC=0 isReverse=1 Q=-8.6450 prefac=1.0000 RGsymb:a+b<->c
586 he4+si31-->s35 reacClass=4 #react=2 #prod=1 isEC=0 isReverse=0 Q=8.3220 prefac=1.0000 RGsymb:a+b<->c
587 s35-->he4+si31 reacClass=2 #react=1 #prod=2 isEC=0 isReverse=1 Q=-8.3220 prefac=1.0000 RGsymb:a+b<->c
588 p+si31-->n+p31 reacClass=5 #react=2 #prod=2 isEC=0 isReverse=0 Q=0.7090 prefac=1.0000 RGsymb:a+b<->c+d
589 n+p31-->p+si31 reacClass=5 #react=2 #prod=2 isEC=0 isReverse=1 Q=-0.7090 prefac=1.0000 RGsymb:a+b<->c+d
590 he4+si31-->n+s34 reacClass=5 #react=2 #prod=2 isEC=0 isReverse=0 Q=1.3360 prefac=1.0000 RGsymb:a+b<->c+d
591 n+s34-->he4+si31 reacClass=5 #react=2 #prod=2 isEC=0 isReverse=1 Q=-1.3360 prefac=1.0000 RGsymb:a+b<->c+d
592 si32-->p32+e+nubar reacClass=1 #react=1 #prod=1 isEC=0 isReverse=0 Q=0.2250 prefac=1.0000 RGsymb:a<->b
593 p+si32-->p33 reacClass=4 #react=2 #prod=1 isEC=0 isReverse=0 Q=9.5460 prefac=1.0000 RGsymb:a+b<->c
594 p33-->p+si32 reacClass=2 #react=1 #prod=2 isEC=0 isReverse=1 Q=-9.5460 prefac=1.0000 RGsymb:a+b<->c
595 he4+si32-->s36 reacClass=4 #react=2 #prod=1 isEC=0 isReverse=0 Q=9.0080 prefac=1.0000 RGsymb:a+b<->c
596 s36-->he4+si32 reacClass=2 #react=1 #prod=2 isEC=0 isReverse=1 Q=-9.0080 prefac=1.0000 RGsymb:a+b<->c
597 p+si32-->n+p32 reacClass=5 #react=2 #prod=2 isEC=0 isReverse=1 Q=-0.5580 prefac=1.0000 RGsymb:a+b<->c+d
598 n+p32-->p+si32 reacClass=5 #react=2 #prod=2 isEC=0 isReverse=0 Q=0.5580 prefac=1.0000 RGsymb:a+b<->c+d
599 he4+si32-->n+s35 reacClass=5 #react=2 #prod=2 isEC=0 isReverse=1 Q=-0.8810 prefac=1.0000 RGsymb:a+b<->c+d
600 n+s35-->he4+si32 reacClass=5 #react=2 #prod=2 isEC=0 isReverse=0 Q=0.8810 prefac=1.0000 RGsymb:a+b<->c+d
601 p29-->si29+e++nu reacClass=1 #react=1 #prod=1 isEC=0 isReverse=0 Q=4.9450 prefac=1.0000 RGsymb:a<->b
602 n+p29-->p30 reacClass=4 #react=2 #prod=1 isEC=0 isReverse=0 Q=11.3200 prefac=1.0000 RGsymb:a+b<->c
603 p30-->n+p29 reacClass=2 #react=1 #prod=2 isEC=0 isReverse=1 Q=-11.3200 prefac=1.0000 RGsymb:a+b<->c
604 he4+p29-->cl33 reacClass=4 #react=2 #prod=1 isEC=0 isReverse=0 Q=6.4760 prefac=1.0000 RGsymb:a+b<->c
605 cl33-->he4+p29 reacClass=2 #react=1 #prod=2 isEC=0 isReverse=1 Q=-6.4760 prefac=1.0000 RGsymb:a+b<->c
606 n+p29-->he4+al26 reacClass=5 #react=2 #prod=2 isEC=0 isReverse=0 Q=0.9050 prefac=1.0000 RGsymb:a+b<->c+d
607 he4+p29-->p+s32 reacClass=5 #react=2 #prod=2 isEC=0 isReverse=0 Q=4.1990 prefac=1.0000 RGsymb:a+b<->c+d
608 p+s32-->he4+p29 reacClass=5 #react=2 #prod=2 isEC=0 isReverse=1 Q=-4.1990 prefac=1.0000 RGsymb:a+b<->c+d
609 p30-->si30+e++nu reacClass=1 #react=1 #prod=1 isEC=0 isReverse=0 Q=4.2260 prefac=1.0000 RGsymb:a<->b
610 n+p30-->p31 reacClass=4 #react=2 #prod=1 isEC=0 isReverse=0 Q=12.3120 prefac=1.0000 RGsymb:a+b<->c
611 p31-->n+p30 reacClass=2 #react=1 #prod=2 isEC=0 isReverse=1 Q=-12.3120 prefac=1.0000 RGsymb:a+b<->c
612 he4+p30-->cl34 reacClass=4 #react=2 #prod=1 isEC=0 isReverse=0 Q=6.6640 prefac=1.0000 RGsymb:a+b<->c
613 cl34-->he4+p30 reacClass=2 #react=1 #prod=2 isEC=0 isReverse=1 Q=-6.6640 prefac=1.0000 RGsymb:a+b<->c
614 he4+p30-->n+cl33 reacClass=5 #react=2 #prod=2 isEC=0 isReverse=1 Q=-4.8430 prefac=1.0000 RGsymb:a+b<->c+d
615 n+cl33-->he4+p30 reacClass=5 #react=2 #prod=2 isEC=0 isReverse=0 Q=4.8430 prefac=1.0000 RGsymb:a+b<->c+d
616 he4+p30-->p+s33 reacClass=5 #react=2 #prod=2 isEC=0 isReverse=0 Q=1.5220 prefac=1.0000 RGsymb:a+b<->c+d
617 p+s33-->he4+p30 reacClass=5 #react=2 #prod=2 isEC=0 isReverse=1 Q=-1.5220 prefac=1.0000 RGsymb:a+b<->c+d
618 n+p31-->p32 reacClass=4 #react=2 #prod=1 isEC=0 isReverse=0 Q=7.9364 prefac=1.0000 RGsymb:a+b<->c
619 p32-->n+p31 reacClass=2 #react=1 #prod=2 isEC=0 isReverse=1 Q=-7.9364 prefac=1.0000 RGsymb:a+b<->c
620 p+p31-->s32 reacClass=4 #react=2 #prod=1 isEC=0 isReverse=0 Q=8.8640 prefac=1.0000 RGsymb:a+b<->c
621 s32-->p+p31 reacClass=2 #react=1 #prod=2 isEC=0 isReverse=1 Q=-8.8640 prefac=1.0000 RGsymb:a+b<->c
622 he4+p31-->cl35 reacClass=4 #react=2 #prod=1 isEC=0 isReverse=0 Q=6.9970 prefac=1.0000 RGsymb:a+b<->c
623 cl35-->he4+p31 reacClass=2 #react=1 #prod=2 isEC=0 isReverse=1 Q=-6.9970 prefac=1.0000 RGsymb:a+b<->c
624 he4+p31-->n+cl34 reacClass=5 #react=2 #prod=2 isEC=0 isReverse=1 Q=-5.6480 prefac=1.0000 RGsymb:a+b<->c+d
625 n+cl34-->he4+p31 reacClass=5 #react=2 #prod=2 isEC=0 isReverse=0 Q=5.6480 prefac=1.0000 RGsymb:a+b<->c+d
626 he4+p31-->p+s34 reacClass=5 #react=2 #prod=2 isEC=0 isReverse=0 Q=0.6260 prefac=1.0000 RGsymb:a+b<->c+d
627 p+s34-->he4+p31 reacClass=5 #react=2 #prod=2 isEC=0 isReverse=1 Q=-0.6260 prefac=1.0000 RGsymb:a+b<->c+d
628 p32-->s32+e+nubar reacClass=1 #react=1 #prod=1 isEC=0 isReverse=0 Q=1.7120 prefac=1.0000 RGsymb:a<->b
629 n+p32-->p33 reacClass=4 #react=2 #prod=1 isEC=0 isReverse=0 Q=10.1040 prefac=1.0000 RGsymb:a+b<->c
630 p33-->n+p32 reacClass=2 #react=1 #prod=2 isEC=0 isReverse=1 Q=-10.1040 prefac=1.0000 RGsymb:a+b<->c
631 p+p32-->s33 reacClass=4 #react=2 #prod=1 isEC=0 isReverse=0 Q=9.5700 prefac=1.0000 RGsymb:a+b<->c
632 s33-->p+p32 reacClass=2 #react=1 #prod=2 isEC=0 isReverse=1 Q=-9.5700 prefac=1.0000 RGsymb:a+b<->c
633 he4+p32-->cl36 reacClass=4 #react=2 #prod=1 isEC=0 isReverse=0 Q=7.6410 prefac=1.0000 RGsymb:a+b<->c
634 cl36-->he4+p32 reacClass=2 #react=1 #prod=2 isEC=0 isReverse=1 Q=-7.6410 prefac=1.0000 RGsymb:a+b<->c
635 p+p32-->n+s32 reacClass=5 #react=2 #prod=2 isEC=0 isReverse=0 Q=0.9280 prefac=1.0000 RGsymb:a+b<->c+d
636 n+s32-->p+p32 reacClass=5 #react=2 #prod=2 isEC=0 isReverse=1 Q=-0.9280 prefac=1.0000 RGsymb:a+b<->c+d
637 he4+p32-->n+cl35 reacClass=5 #react=2 #prod=2 isEC=0 isReverse=1 Q=-0.9390 prefac=1.0000 RGsymb:a+b<->c+d
638 n+cl35-->he4+p32 reacClass=5 #react=2 #prod=2 isEC=0 isReverse=0 Q=0.9390 prefac=1.0000 RGsymb:a+b<->c+d
639 he4+p32-->p+s35 reacClass=5 #react=2 #prod=2 isEC=0 isReverse=1 Q=-0.3240 prefac=1.0000 RGsymb:a+b<->c+d
640 p+s35-->he4+p32 reacClass=5 #react=2 #prod=2 isEC=0 isReverse=0 Q=0.3240 prefac=1.0000 RGsymb:a+b<->c+d
641 p33-->s33+e+nubar reacClass=1 #react=1 #prod=1 isEC=0 isReverse=0 Q=0.2470 prefac=1.0000 RGsymb:a<->b
642 p+p33-->s34 reacClass=4 #react=2 #prod=1 isEC=0 isReverse=0 Q=10.8830 prefac=1.0000 RGsymb:a+b<->c
643 s34-->p+p33 reacClass=2 #react=1 #prod=2 isEC=0 isReverse=1 Q=-10.8830 prefac=1.0000 RGsymb:a+b<->c
644 he4+p33-->cl37 reacClass=4 #react=2 #prod=1 isEC=0 isReverse=0 Q=7.8490 prefac=1.0000 RGsymb:a+b<->c
645 cl37-->he4+p33 reacClass=2 #react=1 #prod=2 isEC=0 isReverse=1 Q=-7.8490 prefac=1.0000 RGsymb:a+b<->c
646 p+p33-->n+s33 reacClass=5 #react=2 #prod=2 isEC=0 isReverse=1 Q=-0.5340 prefac=1.0000 RGsymb:a+b<->c+d
647 n+s33-->p+p33 reacClass=5 #react=2 #prod=2 isEC=0 isReverse=0 Q=0.5340 prefac=1.0000 RGsymb:a+b<->c+d
648 he4+p33-->n+cl36 reacClass=5 #react=2 #prod=2 isEC=0 isReverse=1 Q=-2.4620 prefac=1.0000 RGsymb:a+b<->c+d
649 n+cl36-->he4+p33 reacClass=5 #react=2 #prod=2 isEC=0 isReverse=0 Q=2.4620 prefac=1.0000 RGsymb:a+b<->c+d
650 he4+p33-->p+s36 reacClass=5 #react=2 #prod=2 isEC=0 isReverse=1 Q=-0.5380 prefac=1.0000 RGsymb:a+b<->c+d
651 p+s36-->he4+p33 reacClass=5 #react=2 #prod=2 isEC=0 isReverse=0 Q=0.5380 prefac=1.0000 RGsymb:a+b<->c+d
652 n+s32-->s33 reacClass=4 #react=2 #prod=1 isEC=0 isReverse=0 Q=8.6404 prefac=1.0000 RGsymb:a+b<->c
653 s33-->n+s32 reacClass=2 #react=1 #prod=2 isEC=0 isReverse=1 Q=-8.6404 prefac=1.0000 RGsymb:a+b<->c
